['/home/kali/Desktop/keke', '/usr/lib/python36.zip', '/usr/lib/python3.6', '/usr/lib/python3.6/lib-dynload', '/home/kali/.virtualenvs/keke/lib/python3.6/site-packages', '/home/kali/.virtualenvs/keke/lib/python3.6/site-packages/setuptools-39.0.1-py3.6.egg']
Sat Sep 22 11:06:02 2018: generate_insert_data----
Sat Sep 22 11:09:01 2018: generate_insert_data----
Sat Sep 22 11:10:01 2018: generate_insert_data----
Sat Sep 22 11:11:01 2018: generate_insert_data----
Sat Sep 22 11:12:02 2018: generate_insert_data----
Sat Sep 22 11:13:02 2018: generate_insert_data----
Sat Sep 22 11:14:01 2018: generate_insert_data----
Sat Sep 22 11:15:02 2018: generate_insert_data----
Sat Sep 22 11:16:02 2018: generate_insert_data----
Sat Sep 22 11:17:01 2018: generate_insert_data----
Sat Sep 22 11:18:02 2018: generate_insert_data----
Sat Sep 22 11:19:02 2018: generate_insert_data----
Sat Sep 22 11:20:01 2018: generate_insert_data----
Sat Sep 22 11:21:01 2018: generate_insert_data----
Sat Sep 22 11:22:02 2018: generate_insert_data----
Sat Sep 22 11:23:02 2018: generate_insert_data----
Sat Sep 22 11:24:01 2018: generate_insert_data----
Sat Sep 22 11:25:02 2018: generate_insert_data----
Sat Sep 22 11:26:02 2018: generate_insert_data----
Sat Sep 22 11:27:01 2018: generate_insert_data----
Sat Sep 22 11:28:01 2018: generate_insert_data----
Sat Sep 22 11:29:02 2018: generate_insert_data----
Sat Sep 22 11:30:02 2018: generate_insert_data----
Sat Sep 22 11:31:01 2018: generate_insert_data----
Sat Sep 22 11:32:01 2018: generate_insert_data----
Sat Sep 22 11:33:02 2018: generate_insert_data----
Sat Sep 22 11:34:01 2018: generate_insert_data----
Sat Sep 22 11:35:01 2018: generate_insert_data----
Sat Sep 22 11:36:02 2018: generate_insert_data----
Sat Sep 22 11:37:02 2018: generate_insert_data----
Sat Sep 22 11:38:01 2018: generate_insert_data----
Sat Sep 22 11:39:01 2018: generate_insert_data----
Sat Sep 22 11:40:02 2018: generate_insert_data----
Sat Sep 22 11:41:02 2018: generate_insert_data----
Sat Sep 22 11:42:02 2018: generate_insert_data----
Sat Sep 22 11:43:01 2018: generate_insert_data----
Sat Sep 22 11:44:01 2018: generate_insert_data----
Sat Sep 22 11:45:02 2018: generate_insert_data----
Sat Sep 22 11:46:02 2018: generate_insert_data----
Sat Sep 22 11:47:01 2018: generate_insert_data----
Sat Sep 22 11:48:02 2018: generate_insert_data----
Sat Sep 22 11:49:02 2018: generate_insert_data----
Sat Sep 22 11:50:01 2018: generate_insert_data----
Sat Sep 22 11:51:01 2018: generate_insert_data----
Sat Sep 22 11:52:02 2018: generate_insert_data----
Sat Sep 22 11:53:02 2018: generate_insert_data----
Sat Sep 22 11:54:01 2018: generate_insert_data----
Sat Sep 22 11:55:01 2018: generate_insert_data----
Sat Sep 22 11:56:01 2018: generate_insert_data----
Sat Sep 22 11:57:02 2018: generate_insert_data----
Sat Sep 22 11:58:01 2018: generate_insert_data----
Sat Sep 22 11:59:02 2018: generate_insert_data----
Sat Sep 22 12:00:02 2018: generate_insert_data----
Sat Sep 22 12:01:02 2018: generate_insert_data----
Sat Sep 22 12:02:01 2018: generate_insert_data----
Sat Sep 22 12:03:02 2018: generate_insert_data----
Sat Sep 22 12:04:02 2018: generate_insert_data----
Sat Sep 22 12:05:01 2018: generate_insert_data----
Sat Sep 22 12:06:01 2018: generate_insert_data----
Sat Sep 22 12:07:02 2018: generate_insert_data----
Sat Sep 22 12:08:02 2018: generate_insert_data----
Sat Sep 22 12:09:01 2018: generate_insert_data----
Sat Sep 22 12:10:02 2018: generate_insert_data----
Sat Sep 22 12:11:02 2018: generate_insert_data----
Sat Sep 22 12:12:01 2018: generate_insert_data----
Sat Sep 22 12:13:01 2018: generate_insert_data----
Sat Sep 22 12:14:01 2018: generate_insert_data----
Sat Sep 22 12:15:02 2018: generate_insert_data----
Sat Sep 22 12:16:02 2018: generate_insert_data----
Sat Sep 22 12:17:01 2018: generate_insert_data----
Sat Sep 22 12:18:01 2018: generate_insert_data----
Sat Sep 22 12:19:02 2018: generate_insert_data----
Sat Sep 22 12:20:24 2018: generate_insert_data----
Sat Sep 22 12:21:01 2018: generate_insert_data----
Sat Sep 22 12:22:01 2018: generate_insert_data----
Sat Sep 22 12:23:02 2018: generate_insert_data----
Sat Sep 22 12:24:02 2018: generate_insert_data----
Sat Sep 22 12:25:02 2018: generate_insert_data----
Sat Sep 22 12:26:02 2018: generate_insert_data----
Sat Sep 22 12:27:02 2018: generate_insert_data----
Sat Sep 22 12:28:02 2018: generate_insert_data----
Sat Sep 22 12:29:01 2018: generate_insert_data----
Sat Sep 22 12:30:02 2018: generate_insert_data----
Sat Sep 22 12:31:02 2018: generate_insert_data----
