top - 02:16:12 up 1 day,  9:44,  1 user,  load average: 3.49, 2.62, 1.85
Tasks: 222 total,   3 running, 218 sleeping,   1 stopped,   0 zombie
%Cpu(s): 36.9 us,  7.7 sy,  0.0 ni, 55.4 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :   7862.9 total,   1198.8 free,   3127.4 used,   3536.8 buff/cache
MiB Swap:   4096.0 total,   4074.7 free,     21.2 used.   3999.5 avail Mem 

  PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 1341 kali      20   0 3318948 555572 206192 R  62.5   6.9  28:59.83 firefox
 2957 kali      20   0 2651228 366784 169780 S  62.5   4.6  35:32.54 Web Conte+
 1323 kali      20   0 4836404   1.1g  44852 S   6.2  14.9  30:06.11 java
21777 root      20   0  511204 179560 144688 S   6.2   2.2   8:59.26 Xorg
26003 kali      20   0 1936420 181356 125720 S   6.2   2.3   0:15.58 Web Conte+
27940 kali      20   0  536508  40836   9232 R   6.2   0.5   0:00.96 python
28106 kali      20   0   44288   3736   3140 R   6.2   0.0   0:00.01 top
31220 kali      20   0  992524 116712  79000 S   6.2   1.4   7:01.11 deepin-wm
    1 root      20   0  225876   8904   6356 S   0.0   0.1   1:22.59 systemd
    2 root      20   0       0      0      0 S   0.0   0.0   0:00.04 kthreadd
    4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0+
    6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu+
    7 root      20   0       0      0      0 S   0.0   0.0   0:07.01 ksoftirqd+
    8 root      20   0       0      0      0 I   0.0   0.0   2:03.44 rcu_sched
    9 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_bh
   10 root      rt   0       0      0      0 S   0.0   0.0   0:00.32 migration+
   11 root      rt   0       0      0      0 S   0.0   0.0   0:00.21 watchdog/0
   12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
   13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
   14 root      rt   0       0      0      0 S   0.0   0.0   0:00.20 watchdog/1
   15 root      rt   0       0      0      0 S   0.0   0.0   0:00.32 migration+
   16 root      20   0       0      0      0 S   0.0   0.0   0:01.40 ksoftirqd+
   18 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1+
   19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
   20 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 watchdog/2
   21 root      rt   0       0      0      0 S   0.0   0.0   0:00.33 migration+
   22 root      20   0       0      0      0 S   0.0   0.0   0:01.35 ksoftirqd+
   24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/2+
   25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
   26 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 watchdog/3
   27 root      rt   0       0      0      0 S   0.0   0.0   0:00.14 migration+
   28 root      20   0       0      0      0 S   0.0   0.0   0:01.30 ksoftirqd+
   30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/3+
   31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
   32 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
   33 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tasks+
   34 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
   38 root      20   0       0      0      0 S   0.0   0.0   0:00.11 khungtaskd
   39 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
   40 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
   41 root      20   0       0      0      0 S   0.0   0.0   0:00.45 kcompactd0
   42 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
   43 root      39  19       0      0      0 S   0.0   0.0   0:00.07 khugepaged
   44 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
   45 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrit+
   46 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
   48 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ata_sff
   49 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
   50 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poll+
   51 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 devfreq_wq
   52 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 watchdogd
   55 root      20   0       0      0      0 S   0.0   0.0   0:11.53 kswapd0
   56 root      20   0       0      0      0 S   0.0   0.0   0:00.00 ecryptfs-+
   98 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
   99 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 acpi_ther+
  104 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ipv6_addr+
  114 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kstrp
  131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 charger_m+
  217 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 nvkm-disp
  218 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_0
  219 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_0
  220 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_1
  221 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_1
  222 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_2
  223 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_2
  224 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_3
  225 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_3
  226 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_4
  227 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_4
  228 root      20   0       0      0      0 S   0.0   0.0   0:00.00 scsi_eh_5
  229 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 scsi_tmf_5
  233 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/u+
  234 root      -2   0       0      0      0 S   0.0   0.0   0:28.09 i915/sign+
  235 root      -2   0       0      0      0 S   0.0   0.0   0:00.14 i915/sign+
  236 root      -2   0       0      0      0 S   0.0   0.0   0:00.19 i915/sign+
  237 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ttm_swap
  245 root       0 -20       0      0      0 I   0.0   0.0   0:00.13 kworker/3+
  248 root       0 -20       0      0      0 I   0.0   0.0   0:05.69 kworker/0+
  274 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 raid5wq
  319 root      20   0       0      0      0 S   0.0   0.0   0:09.82 jbd2/sda7+
  320 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 ext4-rsv-+
  358 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/1+
  359 root       0 -20       0      0      0 I   0.0   0.0   0:00.14 kworker/2+
  370 root      20   0  194132  69756  66276 S   0.0   0.9   0:06.15 systemd-j+
  384 root      20   0   97432   1684   1508 S   0.0   0.0   0:00.00 lvmetad
  403 root      20   0   54104   3696   2668 S   0.0   0.0   0:26.50 systemd-u+
  476 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 asus_wire+
  479 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/30-me+
  514 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kmemstick
  520 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 cfg80211
